Unnamed: 0,Word,Song,Word Length,Number of Vowels,Frequency,Pronoun,Overall Frequency,Song Frequency
603,was,Delete Ya,3,1,4,False,4,1
604,roused,Delete Ya,6,3,1,False,1,1
605,by,Delete Ya,2,0,2,False,2,1
606,the,Delete Ya,3,1,31,False,31,11
607,light,Delete Ya,5,1,1,False,1,1
608,back,Delete Ya,4,1,9,False,9,6
609,in,Delete Ya,2,1,17,False,17,6
610,the,Delete Ya,3,1,31,False,31,11
611,city,Delete Ya,4,1,1,False,1,1
612,no,Delete Ya,2,1,8,False,8,1
613,longer,Delete Ya,6,2,1,False,1,1
614,my,Delete Ya,2,0,33,True,33,7
615,home,Delete Ya,4,2,2,False,2,2
616,trying,Delete Ya,6,1,2,False,2,1
617,to,Delete Ya,2,1,24,False,24,14
618,let,Delete Ya,3,1,3,False,3,1
619,it,Delete Ya,2,1,21,False,21,7
620,go,Delete Ya,2,1,1,False,1,1
621,i,Delete Ya,1,1,67,True,67,16
622,take,Delete Ya,4,2,2,False,2,2
623,a,Delete Ya,1,1,21,False,21,6
624,walk,Delete Ya,4,1,1,False,1,1
625,in,Delete Ya,2,1,17,False,17,6
626,hollywood,Delete Ya,9,3,1,False,1,1
627,my,Delete Ya,2,0,33,True,33,7
628,old,Delete Ya,3,1,4,False,4,1
629,apartment,Delete Ya,9,3,1,False,1,1
630,isn't,Delete Ya,5,1,1,False,1,1
631,looking,Delete Ya,7,3,1,False,1,1
632,too,Delete Ya,3,2,1,False,1,1
633,good,Delete Ya,4,2,1,False,1,1
634,then,Delete Ya,4,1,3,False,3,2
635,there's,Delete Ya,7,2,4,False,4,2
636,a,Delete Ya,1,1,21,False,21,6
637,lyric,Delete Ya,5,1,1,False,1,1
638,that,Delete Ya,4,1,15,False,15,6
639,in,Delete Ya,2,1,17,False,17,6
640,context,Delete Ya,7,2,1,False,1,1
641,stings,Delete Ya,6,1,1,False,1,1
642,the,Delete Ya,3,1,31,False,31,11
643,immediate,Delete Ya,9,5,1,False,1,1
644,pain,Delete Ya,4,2,1,False,1,1
645,it,Delete Ya,2,1,21,False,21,7
646,brings,Delete Ya,6,1,1,False,1,1
647,that,Delete Ya,4,1,15,False,15,6
648,song,Delete Ya,4,1,1,False,1,1
649,that,Delete Ya,4,1,15,False,15,6
650,you,Delete Ya,3,2,52,True,52,7
651,used,Delete Ya,4,2,1,False,1,1
652,to,Delete Ya,2,1,24,False,24,14
653,sing,Delete Ya,4,1,1,False,1,1
654,and,Delete Ya,3,1,19,False,19,11
655,now,Delete Ya,3,1,10,False,10,2
656,i'm,Delete Ya,3,1,13,True,13,6
657,back,Delete Ya,4,1,9,False,9,6
658,on,Delete Ya,2,1,11,False,11,2
659,your,Delete Ya,4,2,4,True,4,3
660,couch,Delete Ya,5,2,1,False,1,1
661,frozen,Delete Ya,6,2,1,False,1,1
662,peas,Delete Ya,4,2,1,False,1,1
663,to,Delete Ya,2,1,24,False,24,14
664,my,Delete Ya,2,0,33,True,33,7
665,head,Delete Ya,4,2,4,False,4,1
666,driving,Delete Ya,7,2,2,False,2,2
667,up,Delete Ya,2,1,7,False,7,5
668,to,Delete Ya,2,1,24,False,24,14
669,your,Delete Ya,4,2,4,True,4,3
670,folks,Delete Ya,5,1,1,False,1,1
671,cramming,Delete Ya,8,2,1,False,1,1
672,into,Delete Ya,4,2,1,False,1,1
673,your,Delete Ya,4,2,4,True,4,3
674,bed,Delete Ya,3,1,1,False,1,1
675,you,Delete Ya,3,2,52,True,52,7
676,picked,Delete Ya,6,2,1,False,1,1
677,me,Delete Ya,2,1,21,True,21,7
678,up,Delete Ya,2,1,7,False,7,5
679,every,Delete Ya,5,2,2,False,2,1
680,time,Delete Ya,4,2,2,False,2,1
681,drove,Delete Ya,5,2,1,False,1,1
682,me,Delete Ya,2,1,21,True,21,7
683,back,Delete Ya,4,1,9,False,9,6
684,to,Delete Ya,2,1,24,False,24,14
685,our,Delete Ya,3,2,2,True,2,2
686,home,Delete Ya,4,2,2,False,2,2
687,it,Delete Ya,2,1,21,False,21,7
688,doesn't,Delete Ya,7,2,2,False,2,2
689,leave,Delete Ya,5,3,1,False,1,1
690,you,Delete Ya,3,2,52,True,52,7
691,alone,Delete Ya,5,3,1,False,1,1
692,oh,Delete Ya,2,1,11,False,11,8
693,god,Delete Ya,3,1,7,False,7,5
694,i,Delete Ya,1,1,67,True,67,16
695,wish,Delete Ya,4,1,4,False,4,4
696,i,Delete Ya,1,1,67,True,67,16
697,could,Delete Ya,5,2,6,False,6,6
698,delete,Delete Ya,6,3,3,False,3,3
699,ya,Delete Ya,2,1,13,False,13,13
700,cause,Delete Ya,5,3,4,False,4,3
701,nothin,Delete Ya,6,2,3,False,3,3
702,can,Delete Ya,3,1,4,False,4,3
703,compete,Delete Ya,7,3,3,False,3,3
704,with,Delete Ya,4,1,5,False,5,5
705,ya,Delete Ya,2,1,13,False,13,13
706,i,Delete Ya,1,1,67,True,67,16
707,replenish,Delete Ya,9,3,4,False,4,4
708,and,Delete Ya,3,1,19,False,19,11
709,repeat,Delete Ya,6,3,6,False,6,6
710,ya,Delete Ya,2,1,13,False,13,13
711,a,Delete Ya,1,1,21,False,21,6
712,heart,Delete Ya,5,2,4,False,4,4
713,excretes,Delete Ya,8,3,1,False,1,1
714,only,Delete Ya,4,1,3,False,3,2
715,one,Delete Ya,3,2,4,True,4,4
716,of,Delete Ya,2,1,13,False,13,5
717,us,Delete Ya,2,1,5,True,5,5
718,only,Delete Ya,4,1,3,False,3,2
719,one,Delete Ya,3,2,4,True,4,4
720,blue,Delete Ya,4,2,2,False,2,1
721,and,Delete Ya,3,1,19,False,19,11
722,gold,Delete Ya,4,1,1,False,1,1
723,friday,Delete Ya,6,2,1,False,1,1
724,night,Delete Ya,5,1,1,False,1,1
725,team,Delete Ya,4,2,2,False,2,1
726,up,Delete Ya,2,1,7,False,7,5
727,with,Delete Ya,4,1,5,False,5,5
728,charlie,Delete Ya,7,3,1,False,1,1
729,take,Delete Ya,4,2,2,False,2,2
730,these,Delete Ya,5,2,3,False,3,1
731,kids,Delete Ya,4,1,1,False,1,1
732,for,Delete Ya,3,1,11,False,11,3
733,a,Delete Ya,1,1,21,False,21,6
734,ride,Delete Ya,4,2,1,False,1,1
735,why's,Delete Ya,5,0,1,False,1,1
736,my,Delete Ya,2,0,33,True,33,7
737,heart,Delete Ya,5,2,4,False,4,4
738,pounding,Delete Ya,8,3,1,False,1,1
739,beating,Delete Ya,7,3,1,False,1,1
740,out,Delete Ya,3,2,2,False,2,2
741,of,Delete Ya,2,1,13,False,13,5
742,my,Delete Ya,2,0,33,True,33,7
743,chest,Delete Ya,5,1,2,False,2,2
744,remember,Delete Ya,8,3,1,False,1,1
745,to,Delete Ya,2,1,24,False,24,14
746,try,Delete Ya,3,0,1,False,1,1
747,and,Delete Ya,3,1,19,False,19,11
748,forget,Delete Ya,6,2,2,False,2,1
749,i'm,Delete Ya,3,1,13,True,13,6
750,locked,Delete Ya,6,2,1,False,1,1
751,she's,Delete Ya,5,1,11,True,11,1
752,the,Delete Ya,3,1,31,False,31,11
753,key,Delete Ya,3,1,1,False,1,1
754,i'm,Delete Ya,3,1,13,True,13,6
755,a,Delete Ya,1,1,21,False,21,6
756,boat,Delete Ya,4,2,1,False,1,1
757,that's,Delete Ya,6,1,4,False,4,1
758,sinking,Delete Ya,7,2,1,False,1,1
759,guess,Delete Ya,5,2,1,False,1,1
760,who's,Delete Ya,5,1,1,False,1,1
761,the,Delete Ya,3,1,31,False,31,11
762,sea,Delete Ya,3,2,1,False,1,1
763,it's,Delete Ya,4,1,2,False,2,1
764,hard,Delete Ya,4,1,1,False,1,1
765,to,Delete Ya,2,1,24,False,24,14
766,shake,Delete Ya,5,2,1,False,1,1
767,it,Delete Ya,2,1,21,False,21,7
768,off,Delete Ya,3,1,2,False,2,1
769,and,Delete Ya,3,1,19,False,19,11
770,get,Delete Ya,3,1,3,False,3,2
771,back,Delete Ya,4,1,9,False,9,6
772,to,Delete Ya,2,1,24,False,24,14
773,me,Delete Ya,2,1,21,True,21,7
774,when,Delete Ya,4,1,8,False,8,1
775,anything,Delete Ya,8,2,1,True,1,1
776,is,Delete Ya,2,1,10,False,10,2
777,a,Delete Ya,1,1,21,False,21,6
778,memory,Delete Ya,6,2,1,False,1,1
779,and,Delete Ya,3,1,19,False,19,11
780,you,Delete Ya,3,2,52,True,52,7
781,repeat,Delete Ya,6,3,6,False,6,6
782,to,Delete Ya,2,1,24,False,24,14
783,the,Delete Ya,3,1,31,False,31,11
784,nth,Delete Ya,3,0,1,False,1,1
785,degree,Delete Ya,6,3,1,False,1,1
786,and,Delete Ya,3,1,19,False,19,11
787,now,Delete Ya,3,1,10,False,10,2
788,i'm,Delete Ya,3,1,13,True,13,6
789,back,Delete Ya,4,1,9,False,9,6
790,in,Delete Ya,2,1,17,False,17,6
791,my,Delete Ya,2,0,33,True,33,7
792,truck,Delete Ya,5,1,1,False,1,1
793,i'm,Delete Ya,3,1,13,True,13,6
794,driving,Delete Ya,7,2,2,False,2,2
795,up,Delete Ya,2,1,7,False,7,5
796,to,Delete Ya,2,1,24,False,24,14
797,our,Delete Ya,3,2,2,True,2,2
798,place,Delete Ya,5,2,1,False,1,1
799,we're,Delete Ya,5,2,2,True,2,1
800,sitting,Delete Ya,7,2,1,False,1,1
801,dead,Delete Ya,4,2,1,False,1,1
802,on,Delete Ya,2,1,11,False,11,2
803,the,Delete Ya,3,1,31,False,31,11
804,ground,Delete Ya,6,2,1,False,1,1
805,there's,Delete Ya,7,2,4,False,4,2
806,nothing,Delete Ya,7,2,1,True,1,1
807,more,Delete Ya,4,2,1,False,1,1
808,to,Delete Ya,2,1,24,False,24,14
809,be,Delete Ya,2,1,6,False,6,3
810,said,Delete Ya,4,2,2,False,2,1
811,you,Delete Ya,3,2,52,True,52,7
812,kept,Delete Ya,4,1,1,False,1,1
813,it,Delete Ya,2,1,21,False,21,7
814,tight,Delete Ya,5,1,1,False,1,1
815,to,Delete Ya,2,1,24,False,24,14
816,the,Delete Ya,3,1,31,False,31,11
817,chest,Delete Ya,5,1,2,False,2,2
818,at,Delete Ya,2,1,21,False,21,1
819,someone,Delete Ya,7,4,2,True,2,1
820,else's,Delete Ya,6,2,1,False,1,1
821,expense,Delete Ya,7,3,1,False,1,1
822,that,Delete Ya,4,1,15,False,15,6
823,doesn't,Delete Ya,7,2,2,False,2,2
824,sound,Delete Ya,5,2,5,False,5,1
825,like,Delete Ya,4,2,5,False,5,3
826,real,Delete Ya,4,2,1,False,1,1
827,love,Delete Ya,4,2,2,False,2,1
828,oh,Delete Ya,2,1,11,False,11,8
829,god,Delete Ya,3,1,7,False,7,5
830,i,Delete Ya,1,1,67,True,67,16
831,wish,Delete Ya,4,1,4,False,4,4
832,i,Delete Ya,1,1,67,True,67,16
833,could,Delete Ya,5,2,6,False,6,6
834,delete,Delete Ya,6,3,3,False,3,3
835,ya,Delete Ya,2,1,13,False,13,13
836,cause,Delete Ya,5,3,4,False,4,3
837,nothin,Delete Ya,6,2,3,False,3,3
838,can,Delete Ya,3,1,4,False,4,3
839,compete,Delete Ya,7,3,3,False,3,3
840,with,Delete Ya,4,1,5,False,5,5
841,ya,Delete Ya,2,1,13,False,13,13
842,i,Delete Ya,1,1,67,True,67,16
843,replenish,Delete Ya,9,3,4,False,4,4
844,and,Delete Ya,3,1,19,False,19,11
845,repeat,Delete Ya,6,3,6,False,6,6
846,ya,Delete Ya,2,1,13,False,13,13
847,i'd,Delete Ya,3,1,3,True,3,3
848,replenish,Delete Ya,9,3,4,False,4,4
849,and,Delete Ya,3,1,19,False,19,11
850,repeat,Delete Ya,6,3,6,False,6,6
851,ya,Delete Ya,2,1,13,False,13,13
852,i,Delete Ya,1,1,67,True,67,16
853,wanna,Delete Ya,5,2,1,False,1,1
854,know,Delete Ya,4,1,10,False,10,1
855,just,Delete Ya,4,1,2,False,2,2
856,two,Delete Ya,3,1,4,False,4,4
857,weeks,Delete Ya,5,2,1,False,1,1
858,how'd,Delete Ya,5,1,1,False,1,1
859,you,Delete Ya,3,2,52,True,52,7
860,cut,Delete Ya,3,1,1,False,1,1
861,it,Delete Ya,2,1,21,False,21,7
862,like,Delete Ya,4,2,5,False,5,3
863,that,Delete Ya,4,1,15,False,15,6
864,maybe,Delete Ya,5,2,1,False,1,1
865,you,Delete Ya,3,2,52,True,52,7
866,show,Delete Ya,4,1,1,False,1,1
867,me,Delete Ya,2,1,21,True,21,7
868,how,Delete Ya,3,1,1,False,1,1
869,i'm,Delete Ya,3,1,13,True,13,6
870,built,Delete Ya,5,2,1,False,1,1
871,different,Delete Ya,9,3,1,False,1,1
872,i,Delete Ya,1,1,67,True,67,16
873,don't,Delete Ya,5,1,12,False,12,1
874,work,Delete Ya,4,1,1,False,1,1
875,like,Delete Ya,4,2,5,False,5,3
876,that,Delete Ya,4,1,15,False,15,6
877,huh,Delete Ya,3,1,1,False,1,1
878,i,Delete Ya,1,1,67,True,67,16
879,got,Delete Ya,3,1,7,False,7,1
880,to,Delete Ya,2,1,24,False,24,14
881,repeat,Delete Ya,6,3,6,False,6,6
882,chew,Delete Ya,4,1,1,False,1,1
883,up,Delete Ya,2,1,7,False,7,5
884,spit,Delete Ya,4,1,1,False,1,1
885,out,Delete Ya,3,2,2,False,2,2
886,the,Delete Ya,3,1,31,False,31,11
887,blame,Delete Ya,5,2,1,False,1,1
888,complex,Delete Ya,7,2,1,False,1,1
889,in,Delete Ya,2,1,17,False,17,6
890,me,Delete Ya,2,1,21,True,21,7
891,me,Delete Ya,2,1,21,True,21,7
892,me,Delete Ya,2,1,21,True,21,7
893,oh,Delete Ya,2,1,11,False,11,8
894,god,Delete Ya,3,1,7,False,7,5
895,i,Delete Ya,1,1,67,True,67,16
896,wish,Delete Ya,4,1,4,False,4,4
897,i,Delete Ya,1,1,67,True,67,16
898,could,Delete Ya,5,2,6,False,6,6
899,delete,Delete Ya,6,3,3,False,3,3
900,ya,Delete Ya,2,1,13,False,13,13
901,cause,Delete Ya,5,3,4,False,4,3
902,nothin,Delete Ya,6,2,3,False,3,3
903,can,Delete Ya,3,1,4,False,4,3
904,compete,Delete Ya,7,3,3,False,3,3
905,with,Delete Ya,4,1,5,False,5,5
906,ya,Delete Ya,2,1,13,False,13,13
907,i'd,Delete Ya,3,1,3,True,3,3
908,replenish,Delete Ya,9,3,4,False,4,4
909,and,Delete Ya,3,1,19,False,19,11
910,repeat,Delete Ya,6,3,6,False,6,6
911,ya,Delete Ya,2,1,13,False,13,13
912,one,Delete Ya,3,2,4,True,4,4
913,heart,Delete Ya,5,2,4,False,4,4
914,could,Delete Ya,5,2,6,False,6,6
915,beat,Delete Ya,4,2,1,False,1,1
916,for,Delete Ya,3,1,11,False,11,3
917,the,Delete Ya,3,1,31,False,31,11
918,two,Delete Ya,3,1,4,False,4,4
919,of,Delete Ya,2,1,13,False,13,5
920,us,Delete Ya,2,1,5,True,5,5
921,two,Delete Ya,3,1,4,False,4,4
922,of,Delete Ya,2,1,13,False,13,5
923,us,Delete Ya,2,1,5,True,5,5
924,two,Delete Ya,3,1,4,False,4,4
925,of,Delete Ya,2,1,13,False,13,5
926,us,Delete Ya,2,1,5,True,5,5
927,oh,Delete Ya,2,1,11,False,11,8
928,oh,Delete Ya,2,1,11,False,11,8
929,oh,Delete Ya,2,1,11,False,11,8
930,oh,Delete Ya,2,1,11,False,11,8
931,god,Delete Ya,3,1,7,False,7,5
932,i,Delete Ya,1,1,67,True,67,16
933,wish,Delete Ya,4,1,4,False,4,4
934,i,Delete Ya,1,1,67,True,67,16
935,could,Delete Ya,5,2,6,False,6,6
936,release,Delete Ya,7,4,1,False,1,1
937,ya,Delete Ya,2,1,13,False,13,13
938,wind,Delete Ya,4,1,1,False,1,1
939,it,Delete Ya,2,1,21,False,21,7
940,back,Delete Ya,4,1,9,False,9,6
941,and,Delete Ya,3,1,19,False,19,11
942,never,Delete Ya,5,2,1,False,1,1
943,be,Delete Ya,2,1,6,False,6,3
944,with,Delete Ya,4,1,5,False,5,5
945,ya,Delete Ya,2,1,13,False,13,13
946,then,Delete Ya,4,1,3,False,3,2
947,i'd,Delete Ya,3,1,3,True,3,3
948,be,Delete Ya,2,1,6,False,6,3
949,happy,Delete Ya,5,1,1,False,1,1
950,just,Delete Ya,4,1,2,False,2,2
951,to,Delete Ya,2,1,24,False,24,14
952,meet,Delete Ya,4,2,1,False,1,1
953,ya,Delete Ya,2,1,13,False,13,13
954,oh,Delete Ya,2,1,11,False,11,8
955,my,Delete Ya,2,0,33,True,33,7
956,god,Delete Ya,3,1,7,False,7,5
957,one,Delete Ya,3,2,4,True,4,4
958,heart,Delete Ya,5,2,4,False,4,4
959,could,Delete Ya,5,2,6,False,6,6
960,bleed,Delete Ya,5,2,1,False,1,1
961,for,Delete Ya,3,1,11,False,11,3
962,the,Delete Ya,3,1,31,False,31,11
963,future,Delete Ya,6,3,1,False,1,1
964,us,Delete Ya,2,1,5,True,5,5
965,if,Delete Ya,2,1,1,False,1,1
966,we,Delete Ya,2,1,3,True,3,1
967,were,Delete Ya,4,2,1,False,1,1
968,young,Delete Ya,5,2,1,False,1,1
969,but,Delete Ya,3,1,3,False,3,1
970,this,Delete Ya,4,1,2,False,2,1
971,is,Delete Ya,2,1,10,False,10,2
972,done,Delete Ya,4,2,1,False,1,1
973,i,Purgatory Silverstar,1,1,67,True,67,7
974,knew,Purgatory Silverstar,4,1,3,False,3,3
975,a,Purgatory Silverstar,1,1,21,False,21,9
976,girl,Purgatory Silverstar,4,1,5,False,5,5
977,she,Purgatory Silverstar,3,1,4,True,4,4
978,knocked,Purgatory Silverstar,7,2,1,False,1,1
979,at,Purgatory Silverstar,2,1,21,False,21,1
980,my,Purgatory Silverstar,2,0,33,True,33,10
981,door,Purgatory Silverstar,4,2,1,False,1,1
982,head,Purgatory Silverstar,4,2,4,False,4,1
983,in,Purgatory Silverstar,2,1,17,False,17,5
984,the,Purgatory Silverstar,3,1,31,False,31,8
985,clouds,Purgatory Silverstar,6,2,1,False,1,1
986,feet,Purgatory Silverstar,4,2,1,False,1,1
987,off,Purgatory Silverstar,3,1,2,False,2,1
988,the,Purgatory Silverstar,3,1,31,False,31,8
989,floor,Purgatory Silverstar,5,2,1,False,1,1
990,i,Purgatory Silverstar,1,1,67,True,67,7
991,knew,Purgatory Silverstar,4,1,3,False,3,3
992,a,Purgatory Silverstar,1,1,21,False,21,9
993,girl,Purgatory Silverstar,4,1,5,False,5,5
994,she,Purgatory Silverstar,3,1,4,True,4,4
995,brought,Purgatory Silverstar,7,2,2,False,2,2
996,me,Purgatory Silverstar,2,1,21,True,21,3
997,life,Purgatory Silverstar,4,2,8,False,8,6
998,back,Purgatory Silverstar,4,1,9,False,9,3
999,when,Purgatory Silverstar,4,1,8,False,8,2
1000,the,Purgatory Silverstar,3,1,31,False,31,8
1001,girl,Purgatory Silverstar,4,1,5,False,5,5
1002,was,Purgatory Silverstar,3,1,4,False,4,2
1003,mine,Purgatory Silverstar,4,2,2,True,2,2
1004,da,Purgatory Silverstar,2,1,21,False,21,21
1005,da,Purgatory Silverstar,2,1,21,False,21,21
1006,da,Purgatory Silverstar,2,1,21,False,21,21
1007,da,Purgatory Silverstar,2,1,21,False,21,21
1008,da,Purgatory Silverstar,2,1,21,False,21,21
1009,da,Purgatory Silverstar,2,1,21,False,21,21
1010,da,Purgatory Silverstar,2,1,21,False,21,21
1011,da,Purgatory Silverstar,2,1,21,False,21,21
1012,da,Purgatory Silverstar,2,1,21,False,21,21
1013,da,Purgatory Silverstar,2,1,21,False,21,21
1014,da,Purgatory Silverstar,2,1,21,False,21,21
1015,da,Purgatory Silverstar,2,1,21,False,21,21
1016,da,Purgatory Silverstar,2,1,21,False,21,21
1017,da,Purgatory Silverstar,2,1,21,False,21,21
1018,da,Purgatory Silverstar,2,1,21,False,21,21
1019,da,Purgatory Silverstar,2,1,21,False,21,21
1020,da,Purgatory Silverstar,2,1,21,False,21,21
1021,da,Purgatory Silverstar,2,1,21,False,21,21
1022,she,Purgatory Silverstar,3,1,4,True,4,4
1023,knocks,Purgatory Silverstar,6,1,2,False,2,2
1024,and,Purgatory Silverstar,3,1,19,False,19,2
1025,knocks,Purgatory Silverstar,6,1,2,False,2,2
1026,ah,Purgatory Silverstar,2,1,2,False,2,2
1027,i,Purgatory Silverstar,1,1,67,True,67,7
1028,knew,Purgatory Silverstar,4,1,3,False,3,3
1029,a,Purgatory Silverstar,1,1,21,False,21,9
1030,girl,Purgatory Silverstar,4,1,5,False,5,5
1031,she,Purgatory Silverstar,3,1,4,True,4,4
1032,brought,Purgatory Silverstar,7,2,2,False,2,2
1033,me,Purgatory Silverstar,2,1,21,True,21,3
1034,life,Purgatory Silverstar,4,2,8,False,8,6
1035,back,Purgatory Silverstar,4,1,9,False,9,3
1036,when,Purgatory Silverstar,4,1,8,False,8,2
1037,the,Purgatory Silverstar,3,1,31,False,31,8
1038,girl,Purgatory Silverstar,4,1,5,False,5,5
1039,was,Purgatory Silverstar,3,1,4,False,4,2
1040,mine,Purgatory Silverstar,4,2,2,True,2,2
1041,it,Purgatory Silverstar,2,1,21,False,21,3
1042,feels,Purgatory Silverstar,5,2,1,False,1,1
1043,like,Purgatory Silverstar,4,2,5,False,5,1
1044,a,Purgatory Silverstar,1,1,21,False,21,9
1045,big,Purgatory Silverstar,3,1,1,False,1,1
1046,waste,Purgatory Silverstar,5,2,1,False,1,1
1047,of,Purgatory Silverstar,2,1,13,False,13,5
1048,time,Purgatory Silverstar,4,2,2,False,2,1
1049,i,Purgatory Silverstar,1,1,67,True,67,7
1050,don't,Purgatory Silverstar,5,1,12,False,12,1
1051,seem,Purgatory Silverstar,4,2,1,False,1,1
1052,to,Purgatory Silverstar,2,1,24,False,24,3
1053,mind,Purgatory Silverstar,4,1,7,False,7,1
1054,oh,Purgatory Silverstar,2,1,11,False,11,2
1055,ooh,Purgatory Silverstar,3,2,2,False,2,2
1056,woah,Purgatory Silverstar,4,2,2,False,2,2
1057,why,Purgatory Silverstar,3,0,3,False,3,2
1058,oh,Purgatory Silverstar,2,1,11,False,11,2
1059,ooh,Purgatory Silverstar,3,2,2,False,2,2
1060,woah,Purgatory Silverstar,4,2,2,False,2,2
1061,but,Purgatory Silverstar,3,1,3,False,3,1
1062,life,Purgatory Silverstar,4,2,8,False,8,6
1063,keeps,Purgatory Silverstar,5,2,1,False,1,1
1064,swallowing,Purgatory Silverstar,10,3,1,False,1,1
1065,that's,Purgatory Silverstar,6,1,4,False,4,1
1066,why,Purgatory Silverstar,3,0,3,False,3,2
1067,i,Purgatory Silverstar,1,1,67,True,67,7
1068,learned,Purgatory Silverstar,7,3,1,False,1,1
1069,to,Purgatory Silverstar,2,1,24,False,24,3
1070,cook,Purgatory Silverstar,4,2,1,False,1,1
1071,ah,Purgatory Silverstar,2,1,2,False,2,2
1072,burp,Purgatory Silverstar,4,1,1,False,1,1
1073,houston,Purgatory Silverstar,7,3,1,False,1,1
1074,i'm,Purgatory Silverstar,3,1,13,True,13,2
1075,a,Purgatory Silverstar,1,1,21,False,21,9
1076,vacuum,Purgatory Silverstar,6,3,1,False,1,1
1077,sealed,Purgatory Silverstar,6,3,2,False,2,1
1078,body,Purgatory Silverstar,4,1,2,False,2,2
1079,bag,Purgatory Silverstar,3,1,1,False,1,1
1080,in,Purgatory Silverstar,2,1,17,False,17,5
1081,a,Purgatory Silverstar,1,1,21,False,21,9
1082,crafted,Purgatory Silverstar,7,2,1,False,1,1
1083,metabolic,Purgatory Silverstar,9,4,1,False,1,1
1084,way,Purgatory Silverstar,3,1,3,False,3,1
1085,salutations,Purgatory Silverstar,11,5,1,False,1,1
1086,to,Purgatory Silverstar,2,1,24,False,24,3
1087,the,Purgatory Silverstar,3,1,31,False,31,8
1088,old,Purgatory Silverstar,3,1,4,False,4,1
1089,world,Purgatory Silverstar,5,1,2,False,2,1
1090,hundred,Purgatory Silverstar,7,2,1,False,1,1
1091,oysters,Purgatory Silverstar,7,2,1,False,1,1
1092,for,Purgatory Silverstar,3,1,11,False,11,5
1093,a,Purgatory Silverstar,1,1,21,False,21,9
1094,single,Purgatory Silverstar,6,2,2,False,2,1
1095,pearl,Purgatory Silverstar,5,2,1,False,1,1
1096,yeah,Purgatory Silverstar,4,2,3,False,3,1
1097,life,Purgatory Silverstar,4,2,8,False,8,6
1098,is,Purgatory Silverstar,2,1,10,False,10,2
1099,da,Purgatory Silverstar,2,1,21,False,21,21
1100,da,Purgatory Silverstar,2,1,21,False,21,21
1101,da,Purgatory Silverstar,2,1,21,False,21,21
1102,this,Purgatory Silverstar,4,1,2,False,2,1
1103,is,Purgatory Silverstar,2,1,10,False,10,2
1104,purgatory,Purgatory Silverstar,9,3,1,False,1,1
1105,silverstar,Purgatory Silverstar,10,3,1,False,1,1
1106,only,Purgatory Silverstar,4,1,3,False,3,1
1107,me,Purgatory Silverstar,2,1,21,True,21,3
1108,myself,Purgatory Silverstar,6,1,2,True,2,1
1109,and,Purgatory Silverstar,3,1,19,False,19,2
1110,radio,Purgatory Silverstar,5,3,1,False,1,1
1111,deep,Purgatory Silverstar,4,2,1,False,1,1
1112,space,Purgatory Silverstar,5,2,1,False,1,1
1113,d,Purgatory Silverstar,1,0,1,False,1,1
1114,ad,Purgatory Silverstar,2,1,1,False,1,1
1115,weight,Purgatory Silverstar,6,2,1,False,1,1
1116,body,Purgatory Silverstar,4,1,2,False,2,2
1117,breaking,Purgatory Silverstar,8,3,1,False,1,1
1118,lonelin,Purgatory Silverstar,7,3,1,False,1,1
1119,ss,Purgatory Silverstar,2,0,1,False,1,1
1120,it's,Purgatory Silverstar,4,1,2,False,2,1
1121,the,Purgatory Silverstar,3,1,31,False,31,8
1122,end,Purgatory Silverstar,3,1,1,False,1,1
1123,so,Purgatory Silverstar,2,1,2,False,2,2
1124,bye,Purgatory Silverstar,3,1,2,False,2,2
1125,bye,Purgatory Silverstar,3,1,2,False,2,2
1126,blue,Purgatory Silverstar,4,2,2,False,2,1
1127,in,Purgatory Silverstar,2,1,17,False,17,5
1128,my,Purgatory Silverstar,2,0,33,True,33,10
1129,dreams,Purgatory Silverstar,6,2,1,False,1,1
1130,i'm,Purgatory Silverstar,3,1,13,True,13,2
1131,back,Purgatory Silverstar,4,1,9,False,9,3
1132,on,Purgatory Silverstar,2,1,11,False,11,1
1133,you,Purgatory Silverstar,3,2,52,True,52,3
1134,i,Purgatory Silverstar,1,1,67,True,67,7
1135,took,Purgatory Silverstar,4,2,2,False,2,2
1136,it,Purgatory Silverstar,2,1,21,False,21,3
1137,for,Purgatory Silverstar,3,1,11,False,11,5
1138,granted,Purgatory Silverstar,7,2,2,False,2,2
1139,all,Purgatory Silverstar,3,1,21,False,21,2
1140,that,Purgatory Silverstar,4,1,15,False,15,2
1141,you,Purgatory Silverstar,3,2,52,True,52,3
1142,do,Purgatory Silverstar,2,1,15,False,15,2
1143,coming,Purgatory Silverstar,6,2,1,False,1,1
1144,up,Purgatory Silverstar,2,1,7,False,7,2
1145,empty,Purgatory Silverstar,5,1,2,False,2,2
1146,handed,Purgatory Silverstar,6,2,2,False,2,2
1147,in,Purgatory Silverstar,2,1,17,False,17,5
1148,a,Purgatory Silverstar,1,1,21,False,21,9
1149,patchwork,Purgatory Silverstar,9,2,2,False,2,2
1150,of,Purgatory Silverstar,2,1,13,False,13,5
1151,truth,Purgatory Silverstar,5,1,2,False,2,2
1152,so,Purgatory Silverstar,2,1,2,False,2,2
1153,for,Purgatory Silverstar,3,1,11,False,11,5
1154,the,Purgatory Silverstar,3,1,31,False,31,8
1155,rest,Purgatory Silverstar,4,1,2,False,2,2
1156,of,Purgatory Silverstar,2,1,13,False,13,5
